Test: test1.txt, Is loseless: True
Test: test2.txt, Is loseless: True
Test: test3.cpp, Is loseless: True
Test: test4.bin, Is loseless: True
Test: test5.csv, Is loseless: True
Test: test6.txt, Is loseless: True
Test: test7.bmp, Is loseless: True
Test: test8.jpg, Is loseless: True
Test: test9.png, Is loseless: True
Test: test10.json, Is loseless: True
Test: test11.aac, Is loseless: True
Test: test12.mp3, Is loseless: True
Test: test13.aiff, Is loseless: True
Test: test14.wav, Is loseless: True
Test: test15.mp4, Is loseless: True
Test: test16.mov, Is loseless: True
Test: test17.avi, Is loseless: True
Test: test18.pbm, Is loseless: True
Test: test19.pbm, Is loseless: True
Test: test20.txt, Is loseless: True
Test: test21.txt, Is loseless: True
Test: test22.txt, Is loseless: True
Test: test23.txt, Is loseless: True
Test: test24.txt, Is loseless: True
Test: test25.txt, Is loseless: True
