Test: test1.txt, Input size: 2512110, Compressed size: 1835484, Compression ratio: 0.730654, Compression exec time: 0.460298, Decompression exec time: 0.838395
Test: test2.txt, Input size: 211543, Compressed size: 72774, Compression ratio: 0.344015, Compression exec time: 0.036507, Decompression exec time: 0.062240
Test: test3.cpp, Input size: 7170, Compressed size: 5056, Compression ratio: 0.705160, Compression exec time: 0.004323, Decompression exec time: 0.004660
Test: test4.bin, Input size: 22680, Compressed size: 14825, Compression ratio: 0.653660, Compression exec time: 0.007791, Decompression exec time: 0.015030
Test: test5.csv, Input size: 6231943, Compressed size: 3678382, Compression ratio: 0.590246, Compression exec time: 1.355239, Decompression exec time: 2.302587
Test: test6.txt, Input size: 130414, Compressed size: 81705, Compression ratio: 0.626505, Compression exec time: 0.034258, Decompression exec time: 0.047098
Test: test7.bmp, Input size: 11059338, Compressed size: 10559095, Compression ratio: 0.954767, Compression exec time: 3.158803, Decompression exec time: 5.332743
Test: test8.jpg, Input size: 511285, Compressed size: 511712, Compression ratio: 1.000835, Compression exec time: 0.195779, Decompression exec time: 0.241441
Test: test9.png, Input size: 3752905, Compressed size: 3753309, Compression ratio: 1.000108, Compression exec time: 0.994225, Decompression exec time: 1.413430
Test: test10.json, Input size: 363029, Compressed size: 207035, Compression ratio: 0.570299, Compression exec time: 0.070989, Decompression exec time: 0.115454
Test: test11.aac, Input size: 4634625, Compressed size: 4620009, Compression ratio: 0.996846, Compression exec time: 1.091906, Decompression exec time: 1.852981
Test: test12.mp3, Input size: 5793165, Compressed size: 5766606, Compression ratio: 0.995415, Compression exec time: 1.447945, Decompression exec time: 3.161221
Test: test13.aiff, Input size: 8953438, Compressed size: 7990451, Compression ratio: 0.892445, Compression exec time: 2.509424, Decompression exec time: 4.500664
Test: test14.wav, Input size: 8953530, Compressed size: 7990546, Compression ratio: 0.892446, Compression exec time: 1.916372, Decompression exec time: 3.479987
Test: test15.mp4, Input size: 2391568, Compressed size: 2371134, Compression ratio: 0.991456, Compression exec time: 0.589814, Decompression exec time: 0.967710
Test: test16.mov, Input size: 3560708, Compressed size: 3547155, Compression ratio: 0.996194, Compression exec time: 0.845123, Decompression exec time: 1.659258
Test: test17.avi, Input size: 3611230, Compressed size: 3591351, Compression ratio: 0.994495, Compression exec time: 1.238228, Decompression exec time: 2.039395
Test: test18.pbm, Input size: 453018, Compressed size: 23317, Compression ratio: 0.051470, Compression exec time: 0.064477, Decompression exec time: 0.161689
Test: test19.pbm, Input size: 1340053, Compressed size: 204068, Compression ratio: 0.152284, Compression exec time: 0.169741, Decompression exec time: 0.479887
Test: test20.txt, Input size: 607099, Compressed size: 335157, Compression ratio: 0.552063, Compression exec time: 0.161491, Decompression exec time: 0.264054
Test: test21.txt, Input size: 2623402, Compressed size: 1882812, Compression ratio: 0.717699, Compression exec time: 0.577157, Decompression exec time: 0.916702
Test: test22.txt, Input size: 1484901, Compressed size: 978694, Compression ratio: 0.659097, Compression exec time: 0.320488, Decompression exec time: 0.634288
Test: test23.txt, Input size: 1855113, Compressed size: 1102926, Compression ratio: 0.594533, Compression exec time: 0.538606, Decompression exec time: 0.664083
Test: test24.txt, Input size: 603485, Compressed size: 75471, Compression ratio: 0.125059, Compression exec time: 0.073936, Decompression exec time: 0.144847
Test: test25.txt, Input size: 600005, Compressed size: 447598, Compression ratio: 0.745990, Compression exec time: 0.124170, Decompression exec time: 0.218499
