Test: test1.txt, Input size: 2512110, Compressed size: 1844325, Compression ratio: 0.734174, Compression exec time: 0.186325, Decompression exec time: 0.493344
Test: test2.txt, Input size: 211543, Compressed size: 73556, Compression ratio: 0.347712, Compression exec time: 0.016275, Decompression exec time: 0.023980
Test: test3.cpp, Input size: 7170, Compressed size: 4313, Compression ratio: 0.601534, Compression exec time: 0.003448, Decompression exec time: 0.005070
Test: test4.bin, Input size: 22680, Compressed size: 14138, Compression ratio: 0.623369, Compression exec time: 0.004630, Decompression exec time: 0.009630
Test: test5.csv, Input size: 6231943, Compressed size: 3700099, Compression ratio: 0.593731, Compression exec time: 0.408729, Decompression exec time: 1.041921
Test: test6.txt, Input size: 130414, Compressed size: 81429, Compression ratio: 0.624388, Compression exec time: 0.016654, Decompression exec time: 0.029474
Test: test7.bmp, Input size: 11059338, Compressed size: 10585824, Compression ratio: 0.957184, Compression exec time: 0.853182, Decompression exec time: 2.696782
Test: test8.jpg, Input size: 511285, Compressed size: 511491, Compression ratio: 1.000403, Compression exec time: 0.052093, Decompression exec time: 0.143171
Test: test9.png, Input size: 3752905, Compressed size: 3754768, Compression ratio: 1.000496, Compression exec time: 0.362718, Decompression exec time: 1.035352
Test: test10.json, Input size: 363029, Compressed size: 207220, Compression ratio: 0.570808, Compression exec time: 0.028949, Decompression exec time: 0.058862
Test: test11.aac, Input size: 4634625, Compressed size: 4630470, Compression ratio: 0.999103, Compression exec time: 0.368949, Decompression exec time: 1.346837
Test: test12.mp3, Input size: 5793165, Compressed size: 5781238, Compression ratio: 0.997941, Compression exec time: 0.455123, Decompression exec time: 1.596774
Test: test13.aiff, Input size: 8953438, Compressed size: 8015107, Compression ratio: 0.895199, Compression exec time: 0.666315, Decompression exec time: 2.153522
Test: test14.wav, Input size: 8953530, Compressed size: 8015202, Compression ratio: 0.895200, Compression exec time: 0.670899, Decompression exec time: 2.136782
Test: test15.mp4, Input size: 2391568, Compressed size: 2375728, Compression ratio: 0.993377, Compression exec time: 0.184837, Decompression exec time: 0.653777
Test: test16.mov, Input size: 3560708, Compressed size: 3553121, Compression ratio: 0.997869, Compression exec time: 0.285296, Decompression exec time: 0.980946
Test: test17.avi, Input size: 3611230, Compressed size: 3599582, Compression ratio: 0.996775, Compression exec time: 0.302633, Decompression exec time: 1.019274
Test: test18.pbm, Input size: 453018, Compressed size: 66403, Compression ratio: 0.146579, Compression exec time: 0.024089, Decompression exec time: 0.019424
Test: test19.pbm, Input size: 1340053, Compressed size: 248389, Compression ratio: 0.185358, Compression exec time: 0.063516, Decompression exec time: 0.056798
Test: test20.txt, Input size: 607099, Compressed size: 337109, Compression ratio: 0.555278, Compression exec time: 0.046033, Decompression exec time: 0.093174
Test: test21.txt, Input size: 2623402, Compressed size: 1891449, Compression ratio: 0.720991, Compression exec time: 0.195654, Decompression exec time: 0.531627
Test: test22.txt, Input size: 1484901, Compressed size: 984854, Compression ratio: 0.663246, Compression exec time: 0.106380, Decompression exec time: 0.276913
Test: test23.txt, Input size: 1855113, Compressed size: 1107999, Compression ratio: 0.597268, Compression exec time: 0.126019, Decompression exec time: 0.321819
Test: test24.txt, Input size: 603485, Compressed size: 108301, Compression ratio: 0.179459, Compression exec time: 0.034731, Decompression exec time: 0.030742
Test: test25.txt, Input size: 600005, Compressed size: 448960, Compression ratio: 0.748260, Compression exec time: 0.053309, Decompression exec time: 0.128830
