Test: test1.txt, Input size: 2512110, Compressed size: 966779, Compression ratio: 0.384847, Compression exec time: 6.564164, Decompression exec time: 6.911034
Test: test2.txt, Input size: 211543, Compressed size: 41940, Compression ratio: 0.198258, Compression exec time: 0.453318, Decompression exec time: 0.489004
Test: test3.cpp, Input size: 7170, Compressed size: 2377, Compression ratio: 0.331520, Compression exec time: 0.032833, Decompression exec time: 0.030993
Test: test4.bin, Input size: 22680, Compressed size: 12562, Compression ratio: 0.553880, Compression exec time: 0.142866, Decompression exec time: 0.169017
Test: test5.csv, Input size: 6231943, Compressed size: 989510, Compression ratio: 0.158780, Compression exec time: 10.514406, Decompression exec time: 12.656937
Test: test6.txt, Input size: 130414, Compressed size: 46224, Compression ratio: 0.354440, Compression exec time: 0.395620, Decompression exec time: 0.350673
Test: test7.bmp, Input size: 11059338, Compressed size: 5655550, Compression ratio: 0.511382, Compression exec time: 46.289137, Decompression exec time: 43.632743
Test: test8.jpg, Input size: 511285, Compressed size: 685284, Compression ratio: 1.340317, Compression exec time: 5.861596, Decompression exec time: 5.731234
Test: test9.png, Input size: 3752905, Compressed size: 5492901, Compression ratio: 1.463640, Compression exec time: 30.293121, Decompression exec time: 33.864836
Test: test10.json, Input size: 363029, Compressed size: 88920, Compression ratio: 0.244939, Compression exec time: 0.846383, Decompression exec time: 0.871572
Test: test11.aac, Input size: 4634625, Compressed size: 6665642, Compression ratio: 1.438227, Compression exec time: 38.444961, Decompression exec time: 37.367551
Test: test12.mp3, Input size: 5793165, Compressed size: 8426522, Compression ratio: 1.454563, Compression exec time: 48.267145, Decompression exec time: 49.422633
Test: test13.aiff, Input size: 8953438, Compressed size: 9951213, Compression ratio: 1.111440, Compression exec time: 43.804580, Decompression exec time: 48.277098
Test: test14.wav, Input size: 8953530, Compressed size: 9951283, Compression ratio: 1.111437, Compression exec time: 45.387284, Decompression exec time: 45.621774
Test: test15.mp4, Input size: 2391568, Compressed size: 3353440, Compression ratio: 1.402193, Compression exec time: 18.616381, Decompression exec time: 19.447257
Test: test16.mov, Input size: 3560708, Compressed size: 5140175, Compression ratio: 1.443582, Compression exec time: 27.472620, Decompression exec time: 27.214422
Test: test17.avi, Input size: 3611230, Compressed size: 5119646, Compression ratio: 1.417701, Compression exec time: 29.430819, Decompression exec time: 28.202633
Test: test18.pbm, Input size: 453018, Compressed size: 18766, Compression ratio: 0.041424, Compression exec time: 0.854597, Decompression exec time: 0.805713
Test: test19.pbm, Input size: 1340053, Compressed size: 40535, Compression ratio: 0.030249, Compression exec time: 2.176136, Decompression exec time: 2.398612
Test: test20.txt, Input size: 607099, Compressed size: 189183, Compression ratio: 0.311618, Compression exec time: 1.168217, Decompression exec time: 1.250776
Test: test21.txt, Input size: 2623402, Compressed size: 813068, Compression ratio: 0.309929, Compression exec time: 5.401059, Decompression exec time: 5.873685
Test: test22.txt, Input size: 1484901, Compressed size: 432976, Compression ratio: 0.291586, Compression exec time: 2.837253, Decompression exec time: 3.199709
Test: test23.txt, Input size: 1855113, Compressed size: 503889, Compression ratio: 0.271622, Compression exec time: 3.305012, Decompression exec time: 3.562751
Test: test24.txt, Input size: 603485, Compressed size: 45487, Compression ratio: 0.075374, Compression exec time: 0.962969, Decompression exec time: 1.029712
Test: test25.txt, Input size: 600005, Compressed size: 633874, Compression ratio: 1.056448, Compression exec time: 2.939858, Decompression exec time: 3.390485
