Test: test1.txt, Input size: 2512110, Compressed size: 2650504, Compression ratio: 1.055091, Compression exec time: 0.334409, Decompression exec time: 0.354354
Test: test2.txt, Input size: 211543, Compressed size: 112497, Compression ratio: 0.531793, Compression exec time: 0.035644, Decompression exec time: 0.019661
Test: test3.cpp, Input size: 7170, Compressed size: 6980, Compression ratio: 0.973501, Compression exec time: 0.004207, Decompression exec time: 0.004034
Test: test4.bin, Input size: 22680, Compressed size: 16966, Compression ratio: 0.748060, Compression exec time: 0.006856, Decompression exec time: 0.005941
Test: test5.csv, Input size: 6231943, Compressed size: 6330742, Compression ratio: 1.015854, Compression exec time: 0.893885, Decompression exec time: 0.913920
Test: test6.txt, Input size: 130414, Compressed size: 132543, Compression ratio: 1.016325, Compression exec time: 0.034975, Decompression exec time: 0.034205
Test: test7.bmp, Input size: 11059338, Compressed size: 10751502, Compression ratio: 0.972165, Compression exec time: 2.196586, Decompression exec time: 2.194077
Test: test8.jpg, Input size: 511285, Compressed size: 513173, Compression ratio: 1.003693, Compression exec time: 0.084572, Decompression exec time: 0.102409
Test: test9.png, Input size: 3752905, Compressed size: 3777049, Compression ratio: 1.006433, Compression exec time: 0.807285, Decompression exec time: 0.739810
Test: test10.json, Input size: 363029, Compressed size: 335186, Compression ratio: 0.923304, Compression exec time: 0.082219, Decompression exec time: 0.074700
Test: test11.aac, Input size: 4634625, Compressed size: 4642290, Compression ratio: 1.001654, Compression exec time: 0.933051, Decompression exec time: 0.935580
Test: test12.mp3, Input size: 5793165, Compressed size: 5822027, Compression ratio: 1.004982, Compression exec time: 1.161489, Decompression exec time: 1.040993
Test: test13.aiff, Input size: 8953438, Compressed size: 8842998, Compression ratio: 0.987665, Compression exec time: 1.452641, Decompression exec time: 1.525901
Test: test14.wav, Input size: 8953530, Compressed size: 8843104, Compression ratio: 0.987667, Compression exec time: 1.889991, Decompression exec time: 1.740326
Test: test15.mp4, Input size: 2391568, Compressed size: 2376626, Compression ratio: 0.993752, Compression exec time: 0.448910, Decompression exec time: 0.493006
Test: test16.mov, Input size: 3560708, Compressed size: 3551919, Compression ratio: 0.997532, Compression exec time: 0.673629, Decompression exec time: 0.712265
Test: test17.avi, Input size: 3611230, Compressed size: 3592358, Compression ratio: 0.994774, Compression exec time: 0.677176, Decompression exec time: 0.772891
Test: test18.pbm, Input size: 453018, Compressed size: 38208, Compression ratio: 0.084341, Compression exec time: 0.071305, Decompression exec time: 0.017955
Test: test19.pbm, Input size: 1340053, Compressed size: 78996, Compression ratio: 0.058950, Compression exec time: 0.237230, Decompression exec time: 0.044787
Test: test20.txt, Input size: 607099, Compressed size: 618238, Compression ratio: 1.018348, Compression exec time: 0.135824, Decompression exec time: 0.132418
Test: test21.txt, Input size: 2623402, Compressed size: 2645823, Compression ratio: 1.008547, Compression exec time: 0.580392, Decompression exec time: 0.498277
Test: test22.txt, Input size: 1484901, Compressed size: 1494112, Compression ratio: 1.006203, Compression exec time: 0.336194, Decompression exec time: 0.354617
Test: test23.txt, Input size: 1855113, Compressed size: 1877564, Compression ratio: 1.012102, Compression exec time: 0.338921, Decompression exec time: 0.419226
Test: test24.txt, Input size: 603485, Compressed size: 285780, Compression ratio: 0.473549, Compression exec time: 0.127334, Decompression exec time: 0.067440
Test: test25.txt, Input size: 600005, Compressed size: 609427, Compression ratio: 1.015703, Compression exec time: 0.137594, Decompression exec time: 0.121600
