Test: test1.txt, Input size: 2512110, Compressed size: 1403229, Compression ratio: 0.558586, Compression exec time: 16.974024, Decompression exec time: 0.042070
Test: test2.txt, Input size: 211543, Compressed size: 52723, Compression ratio: 0.249231, Compression exec time: 1.334941, Decompression exec time: 0.003833
Test: test3.cpp, Input size: 7170, Compressed size: 3055, Compression ratio: 0.426081, Compression exec time: 0.028922, Decompression exec time: 0.001638
Test: test4.bin, Input size: 22680, Compressed size: 11829, Compression ratio: 0.521561, Compression exec time: 0.112901, Decompression exec time: 0.002769
Test: test5.csv, Input size: 6231943, Compressed size: 2137655, Compression ratio: 0.343016, Compression exec time: 39.930486, Decompression exec time: 0.076701
Test: test6.txt, Input size: 130414, Compressed size: 69098, Compression ratio: 0.529836, Compression exec time: 1.078223, Decompression exec time: 0.004213
Test: test7.bmp, Input size: 11059338, Compressed size: 9586844, Compression ratio: 0.866855, Compression exec time: 59.200148, Decompression exec time: 0.235125
Test: test8.jpg, Input size: 511285, Compressed size: 688904, Compression ratio: 1.347397, Compression exec time: 3.772404, Decompression exec time: 0.016228
Test: test9.png, Input size: 3752905, Compressed size: 5122586, Compression ratio: 1.364966, Compression exec time: 26.547900, Decompression exec time: 0.111717
Test: test10.json, Input size: 363029, Compressed size: 154107, Compression ratio: 0.424503, Compression exec time: 2.603798, Decompression exec time: 0.008717
Test: test11.aac, Input size: 4634625, Compressed size: 6220481, Compression ratio: 1.342176, Compression exec time: 33.562646, Decompression exec time: 0.110762
Test: test12.mp3, Input size: 5793165, Compressed size: 7795811, Compression ratio: 1.345691, Compression exec time: 39.735340, Decompression exec time: 0.145136
Test: test13.aiff, Input size: 8953438, Compressed size: 10175608, Compression ratio: 1.136503, Compression exec time: 82.134216, Decompression exec time: 0.223274
Test: test14.wav, Input size: 8953530, Compressed size: 10175608, Compression ratio: 1.136491, Compression exec time: 78.966012, Decompression exec time: 0.204871
Test: test15.mp4, Input size: 2391568, Compressed size: 3169284, Compression ratio: 1.325191, Compression exec time: 16.551196, Decompression exec time: 0.068744
Test: test16.mov, Input size: 3560708, Compressed size: 4750692, Compression ratio: 1.334199, Compression exec time: 25.660008, Decompression exec time: 0.092012
Test: test17.avi, Input size: 3611230, Compressed size: 4774166, Compression ratio: 1.322033, Compression exec time: 25.692834, Decompression exec time: 0.084840
Test: test18.pbm, Input size: 453018, Compressed size: 18377, Compression ratio: 0.040566, Compression exec time: 1.209826, Decompression exec time: 0.005192
Test: test19.pbm, Input size: 1340053, Compressed size: 43263, Compression ratio: 0.032285, Compression exec time: 4.535151, Decompression exec time: 0.010834
Test: test20.txt, Input size: 607099, Compressed size: 312466, Compression ratio: 0.514687, Compression exec time: 4.763327, Decompression exec time: 0.010966
Test: test21.txt, Input size: 2623402, Compressed size: 1552025, Compression ratio: 0.591608, Compression exec time: 21.235724, Decompression exec time: 0.050565
Test: test22.txt, Input size: 1484901, Compressed size: 780708, Compression ratio: 0.525764, Compression exec time: 11.677656, Decompression exec time: 0.026922
Test: test23.txt, Input size: 1855113, Compressed size: 919761, Compression ratio: 0.495798, Compression exec time: 14.550282, Decompression exec time: 0.040849
Test: test24.txt, Input size: 603485, Compressed size: 48413, Compression ratio: 0.080222, Compression exec time: 3.347700, Decompression exec time: 0.006673
Test: test25.txt, Input size: 600005, Compressed size: 617997, Compression ratio: 1.029986, Compression exec time: 5.753487, Decompression exec time: 0.014458
